status	body	url
operation	"Saudi Arabia-headquartered utilities company Acwa Power, which features the kingdom’s Public Investment Fund (PIF) as its majority stakeholder, said commercial operations have begun at its 485-megawatt (MW) Zarqa independent power plant (IPP) in Jordan.

The plant has been constructed to support the Jordan Vision 2025 and the National Energy Strategy programmes to drive power infrastructure projects in the country.

Acwa Power is the project's developer, alongside Jordan government-backed Samra Electric Power Company's unit, Sepco III Electric Power Construction Co, which acted as engineering, procurement, and construction (EPC) contractor.

According to a statement on the New York Stock Exchange-listed GE’s website, the company's power business has supplied three 9E heavy-duty gas turbines for the Zarqa IPP under an agreement that was inked in September 2016.

In addition to the gas turbines, the plant comprises three heat recovery steam generators (HRSG) and one steam gas turbine generator, along with six stacks, one for each gas turbine and HRSG.

Jordan’s National Electric Power Company (Nepco) has supplied a new gas pipeline connecting the project with Jordan’s main gas pipeline.

Operations commenced on 29 September, 2018, and when it reaches peak production, the plant will supply enough electricity to power 350,000 homes in Jordan.

The plant has been built with a capacity to operate 51% of combined cycle efficiency, making it Jordan’s most efficient thermal power plant. Simultaneously, it will consume less fuel and release fewer emissions per megawatt-hour of the total electricity generated.

Commenting on the plant's construction completion, Paddy Padmanathan, president and chief executive officer of Acwa Power, said: “The completion of construction and commencement of operations of the Acwa Power Zarqa plant represents our pragmatic approach to serving the power needs of growing countries and communities while increasing efficiency and delivering power at low cost.”

Padmanathan said the project will deliver electricity at ‘one of the lowest tariffs’ in Jordan.

Mohamad Ali, president and chief executive officer of GE’s gas power systems – projects business in the Middle East, Pakistan, and India, added: “GE’s 9E gas turbines can operate reliably and efficiently in extreme conditions such as Jordan’s desert heat and offers tremendous versatility and fuel flexibility, capable of running on more than 50 different kinds of fuels resulting in lower costs of power production.”

Jordan aims at driving more investments in its public and private projects to bolster domestic energy generation by 40% by 2020, and Acwa Power’s Zarqa IPP brings the Arab nation closer to its target."	https://www.constructionweekonline.com/projects-tenders/180704-operations-begin-on-acwa-powers-485-mw-zarqa-ipp-in-jordan
operation	"Saudi-based Acwa Power, a major developer of power and water desalination projects, said its joint venture IPP (independent power project) with Jordan's National Electric Power Company (Nepco) in the Zarqa region of Jordan, has entered commercial operations adding 485 MW electricity to the country's grid.

The Acwa Power Zarqa combined cycle power plant can generate the equivalent electricity needed to supply up to 350,000 Jordanian households and is the most efficient thermal power plant in Jordan, said a statement from the Saudi company.

It is capable of operating at over 51 per cent combined cycle efficiency, leading to lower fuel consumption and fewer emissions per megawatt-hour (MWh) of electricity generated.

The Acwa Power Zarqa IPP supports Jordan’s Vision 2025 to boost economic growth and the Master Strategy of the Energy Sector of Jordan (National Energy Strategy) to drive stronger investments in private and public power projects to boost domestic energy generation by 40 per cent by 2020.

Acwa Power President and CEO Paddy Padmanathan said: ""We are delighted to announce the launch of Zarqa CCGT plant, which reaffirms our commitment and contribution to the Jordanian power sector, economy, and social development.""

""The completion of construction and commencement of operations of the plant represents our pragmatic approach to serving the power needs of growing countries and communities while increasing efficiency and delivering power at low cost,"" observed Padmanathan.

""The fact that this project is capable of delivering electricity at one of the lowest tariffs in the country is a source of great pride to us,"" he added.

The Zarqa plant has deployed three of its 9E gas turbines following a deal executed in September 2016 with Acwa Power and SepcoIII Electric Power Construction Company, which is the engineering, procurement and construction (EPC) contractor.

""GE has supported the development of Jordan’s power sector for almost 40 years, with advanced solutions that bring high levels of operational efficiency and productivity,"" remarked Mohamad Ali, the president and CEO of GE's Gas Power Systems (projects business) for the Middle East, India and Pakistan.

""GE’s 9E gas turbines are an excellent fit for Jordan as they operate reliably and efficiently in extreme conditions such as desert heat and offer tremendous versatility and fuel flexibility, capable of running on more than 50 different kinds of fuels, thus allowing Nepco to utilise more economical fuels and leading to lower costs of power production,"" he added.

Located to the north-east of Zarqa city, the project is constructed next to the decommissioned Hussein Thermal Power Station (HTPS).

GE Power said it has a strong footprint in Jordan, having also signed a multi-year services agreement with Samra Electric Power Company (Sepco) for full-plant maintenance services, including parts and repairs for critical power generation equipment for the 1,175 MW Samra Combined Cycle Gas Turbine (CCGT) Power Plant in the Zarqa region, which feeds power into the national grid for both residential and commercial use.

The agreement covers seven GE gas turbines that are installed and operating at the Samra Station, it stated.

In addition to the three GE heavy-duty gas turbines, the power plant also features three heat recovery steam generators and one steam gas turbine generator, it added."	https://www.utilities-me.com/news/12561-acwa-power-zarqa-combined-cycle-power-plant-in-jordan-starts-operations
operation	"Tata Power has an installed hydro power capacity of around 500 MW with three plants in Maharashtra, which generates power for the domestic market, the company said.

Private utility Tata Power on Monday said it has commenced commercial operations of 178 MW Shuakhevi hydro power project in Georgia. Adjaristsqali Georgia – a joint venture between Tata Power, Norway’s Clean Energy Invest (CEI) and International Financial Corporation- is setting up a 187 MW of hydro project at a cost of around USD 500 million. It has now commissioned 178 MW of the total capacity.

AGL will soon commission the remaining 9 MW Skhalta hydro power project, which is also a component of the overall Shuakhevi project scheme, it said in a statement. “The commercial operation of the Shuakhevi HPP is an important milestone for Tata Power and its partners. Shuakhevi HPP represents the largest and most influential energy project in the last 70 years. The success of the 178 MW Shuakhevi HPP cascades are crucial for the integrity, security and independence of energy in Georgia,” Tata Power CEO and Managing director Praveer Sinha said.

Shuakhevi project is the only project in Georgia’s energy sector which has been funded by three of the largest financial institutes such as European Bank of Reconstruction and Development (EBRD), Asian Development Bank (ADB) and IFC, a member of the World Bank Group, it said.

The project will generate around 450 GW of clean energy to reduce the emission of greenhouse gases by more than 2,00,000 tonne a year. Tata Power has an installed hydro power capacity of around 500 MW with three plants in Maharashtra, which generates power for the domestic market, the company said."	https://www.financialexpress.com/industry/tata-power-starts-commercial-operations-of-georgia-hydro-plant/1913435/
operation	"The project will generate around 450 GWh of clean energy to reduce the emission of greenhouse gases by more than 200,000 tonnes a year.

In an exchange filing made after market hours on Friday, 27 March 2020, Tata Power Company said Adjaristsqali Georgia LLC (AGL), a Joint Venture (JV) between Tata Power, Norway's Clean Energy Invest (CEI) and International Finance Corporation (IFC) announced the start of commercial operation of the 178 MW Shuakhevi Hydro Power Project (Shuakhevi HPP) located in southwest Georgia. Tata Power holds 40% shares in the Joint Venture

The Shuakhevi HPP is the only project in Georgia's energy sector which has been funded by three of the largest financial institutions viz. European Bank of Reconstruction and Development (EBRD), Asian Development Bank (ADB) and IFC, a member of the World Bank Group.

The project will generate around 450 GWh of clean energy to reduce the emission of greenhouse gases by more than 200,000 tonnes a year.

The successful completion and start of commercial operations are considered crucial for the integrity, security and energy independence of Georgia.

The power generated by the project will be exclusively sold within Georgia throughout the winter which is a period of energy deficit in that country.

Tata Power Company stock closed 3.69% lower at Rs 33.95 yesterday, 27 March 2020.

Tata Power Company's principal businesses are in the areas of generation, transmission, distribution-cum-retail, power trading, power services, coal mines and logistics, strategic engineering for defense applications, solar photovoltaic (PV) manufacturing, and engineering, procurement and construction (EPC) services. The company's segments include power, coal and others.

Powered by Capital Market - Live News

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"	https://www.business-standard.com/article/news-cm/tata-power-company-announces-the-start-of-commercial-operation-of-hydro-power-project-jv-120032800177_1.html
operation	"Adjaristsqali Georgia (AGL), a joint venture between Tata Power, Norway’s Clean Energy Invest (CEI) and International Finance Corporation (IFC) has announced commercial operation of 178 MW Shuakhevi hydro power project (Shuakhevi HPP) located in southwest Georgia.



Tata Power holds 40% shares in the joint venture. The Shuakhevi HPP is the only project in Georgia’s energy sector which has been funded by financial institutions namely, European Bank of Reconstruction and Development (EBRD), Asian Development Bank (ADB) and IFC, a member of the World Bank Group.



The hydro power project will generate around 450 GWh of clean energy to reduce the emission of greenhouse gases by over 200,000 tonne a year.



The power generated by the project will be exclusively sold within Georgia throughout the winter."	https://www.constructionweekonline.in/projects-tenders/12883-shuakhevi-hydro-power-project-commences-commercial-operation
operation	"Duke Energy (DUK +2.1% ) says its Progress customers in North Carolina and South Carolina are now receiving 560 MW of cleaner energy from its new Asheville Combined Cycle Station in Arden, N.C.

The new $817M power station, which includes two electricity producing power blocks with four generators and more than 18K components, generates enough energy to serve 450K homes.

Duke says the Asheville station is its most efficient plant in the Carolinas, and 75% more efficient than the retired coal plant it replaced, while carbon emissions at the site have fallen 60% per Mwh compared with the retired plant.

Duke recently started commercial operations at its 200 MW Holstein solar energy project in Texas, the largest solar project in the company's fleet."	https://seekingalpha.com/news/3593804-new-duke-energy-gas-plant-providing-energy-for-450k-homes
operation	"A two-unit, combined-cycle gas-turbine (CCGT) station built to replace an older coal-fired power plant is now fully operational and delivering electricity for Duke Energy’s customers in North Carolina and South Carolina.

The new Asheville station in Arden, N.C. is deemed to be 75 percent more efficient than the 1960s-era coal-fired plant which was shut down in January. Demolition of the Asheville coal-fired site is underway and expected to be finished by 2023.

“Customers want cleaner, more reliable energy, and we’re committed to delivering on this expectation,” said Kevin Murray, Duke vice president of project management and construction. “By building the new Asheville station, we’re significantly reducing air emissions – including carbon dioxide, sulfur dioxide and nitrogen oxides – and continuing to move toward our companywide goal of cutting carbon dioxide emissions by 50 percent by 2030.”

The Ashville combined cycle station cost about $817 million to build. The first 280-MW unit came online in December 2019, while the second 280-MW power block went into commercial operation in April.

Carbon dioxide emissions at the site have dropped by about 60 percent per MWh in comparison to the now-retired coal plant, according to Duke Energy. Sulfur dioxide is expected to decrease by 99 percent and nitrogen oxides by 40 percent. Mercury has also been eliminated.

Duke has committed $1.4 billion in capital expenditures to provide power with lower emissions in the Asheville region. The utility is spending $175 million on upgrading transmission lines, substations and some undergrounding of distribution lines.

A 17-MW battery storage system will be built at the Asheville site, while Duke also plans to invest in a 10-MW solar plant. The renewables side of the Asheville plan will cost close to $120 million.

Some environmental and advocacy groups opposed Duke’s CCGT station early on, but the project won state and federal approval by 2017.

The Asheville units use combustion turbines and generators with bypass stacks. These allow the combustion turbines to operate when the heat recovery steam generator or steam turbine generator are offline for maintenance work.

The station can also burn diesel if natural gas is unavailable.

(Rod Walton is content director for Power Engineering and POWERGEN International. He can be reached at 918-831-9177 and [email protected])"	https://www.power-eng.com/2020/07/23/dukes-asheville-ccgt-units-now-in-operation-replaced-retire-coal-fired-station/
operation	"18 May 2020

by Steve Eminton

Hot commissioning of Wheelabrator’s Kemsley energy from waste facility in Kent is underway using waste supplied by Suez recycling and recovery UK.

And, Suez is understood to have won a major ongoing contract to supply the plant with waste as a feedstock. The award is expected to give Suez the opportunity to potentially almost cease the export of refuse derived fuel (RDF) from the UK and so allow it to handle all waste domestically, apart from Scotland.

Last year Suez sent just under 300,000 tonnes of waste abroad for energy recovery as RDF. However, its exports in the first quarter of this year were down by about 25% at approx. 72,000 tonnes compared to 106,000 tonnes in 2019 (overall RDF exports in this period in England were down around 30%).

Heat

Besides generating 44MW (net) of renewable baseload energy electricity, Wheelabrator Kemsley is also a notable project because of the heat usage which will be by the neighbouring DS Smith Kemsley paper mill.

Wheelabrator Kemsley explains that the facility consists of two 35 tonnes per hour lines and that it will annually process up to 550,000 tonnes of non-recyclable waste. The site will generate 180GWh of heat which will be used to supply steam to the paper mill which has been operating at Kemsley since 1924.

Construction of the Kemsley energy from waste plant started in 2016 and is on target for the handing over from the commissioning stage to commercial operations this summer.

Wheelabrator has rapidly developed its offering in the UK with the Kemsley plant part of its portfolio and it is thought to now be the fourth largest operator. The business is headquartered in the US where most of its facilities are on the east coast. Apart from Kemsley its projects in the UK include two facilities at its giant Ferrybridge EfW site which is run in partnership with SSE. With SSE, Wheelabrator is also planning the development of a facility at Skelton Grange, Leeds.

Suez EfW

Suez is also increasing its own energy from waste capacity in the UK.

Among its projects are: a 55,000 tonnes gasification plant in Surrey due to be operational this year; the expansion of the Suffolk EfW plant by 26,000 tonnes; approval for a 500,000 tonne facility in Blackburn; a new plant is to be operational in 2022 at Billingham for 240,000 tonnes of waste; and plans to increase the throughput of the Severnside facility in Gloucestershire by 100,000 tonnes. Suez’ other facilities include Teesside, Redcar, Kirklees, Isle of Man and Cornwall.

Work on the Surrey gasification plant was paused in mid-March because of the coronavirus pandemic but resumed again last week and commissioning tests are also to restart."	https://www.letsrecycle.com/news/latest-news/suez-secures-order-for-kemsley-efw-facility/
operation	"Mumbai: Private utility Tata Power on Monday said it has commenced commercial operations of 178 MW Shuakhevi hydro power project in Georgia. Adjaristsqali Georgia - a joint venture between Tata Power, Norway's Clean Energy Invest (CEI) and International Financial Corporation- is setting up a 187 MW of hydro project at a cost of around USD 500 million. It has now commissioned 178 MW of the total capacity.AGL will soon commission the remaining 9 MW Skhalta hydro power project, which is also a component of the overall Shuakhevi project scheme, it said in a statement.""The commercial operation of the Shuakhevi HPP is an important milestone for Tata Power and its partners. Shuakhevi HPP represents the largest and most influential energy project in the last 70 years. The success of the 178 MW Shuakhevi HPP cascades are crucial for the integrity, security and independence of energy in Georgia,"" Tata Power CEO and Managing director Praveer Sinha said.Shuakhevi project is the only project in Georgia's energy sector which has been funded by three of the largest financial institutes such as European Bank of Reconstruction and Development (EBRD), Asian Development Bank (ADB) and IFC , a member of the World Bank Group , it said.The project will generate around 450 GW of clean energy to reduce the emission of greenhouse gases by more than 2,00,000 tonne a year.Tata Power has an installed hydro power capacity of around 500 MW with three plants in Maharashtra, which generates power for the domestic market, the company said."	https://energy.economictimes.indiatimes.com/news/renewable/tata-power-starts-commercial-operations-of-georgia-hydro-plant/74885194
operation	"Shares of NTPC were trading at Rs 109.55 a piece on BSE in the morning trade.

State-owned power major NTPC on Friday said its 250 mw unit of Barauni Thermal Power Station in Bihar will start commercial operation from March 1. In a regulatory filing, NTPC said the 250 megawatt (mw) unit of Barauni Thermal Power Station Stage-II (2 x 250 MW) is declared on commercial operation with effect from March 1, this year.

With this, the commercial capacity of NTPC and NTPC group will become 48,895 mw and 57,356 mw respectively, the filing said. Barauni Thermal Power Station (720 mw) is located at Begusarai district in Bihar. The plant comprise of Stage-I (2×110 mw) and Stage-II (2×250 MW), the government had said earlier.

Shares of NTPC were trading at Rs 109.55 a piece on BSE in the morning trade, up 0.69 per cent from its previous close."	https://www.financialexpress.com/industry/ntpc-to-start-commercial-operation-of-250-mw-unit-of-barauni-power-station-from-march-1/1883726/
