frequency	vocabulary
96	cancelled
55	cancellation
53	kosovo
48	tender
48	mahathir
43	saudi
39	former
38	premier
35	ostroleka
34	issued
34	office
33	nhai
31	decided
30	lignite
30	andhra
29	doosan
29	pradesh
29	cancel
28	gmr
28	rwe
28	assessment
26	european
25	oakville
25	softbank
25	opposition
25	cabinet
24	tuesday
24	saying
23	pljevlja
23	strategic
22	ecrl
22	party
22	staff
21	amaravati
21	poland
21	citing
21	suspended
21	euros
21	terminated
21	energa
20	arabia
20	beijing
20	tce
20	industries
20	tolgoi
19	although
18	union
18	bpc
18	bids
18	ambo
18	kuwait
18	proceed
18	germany
18	canceled
18	media
18	enea
17	instead
17	caused
17	bidding
17	press
17	advertisement
17	conference
16	eu
16	true
16	included
16	law
16	petroleum
16	dr
16	communications
16	repsol
16	longer
16	investments
16	ohio
16	proposal
16	came
16	centre
15	worth
15	termination
15	samsung
15	lack
15	sent
15	cpp
15	turkish
15	deputy
15	story
15	negotiations
15	clear
15	oyu
15	gandaki
15	contracts
15	lamu
15	health
15	documents
15	montenegro
15	letter
15	opa
15	budhi
15	eia
14	notice
14	size
