frequency	vocabulary
65	coronavirus
61	delays
59	edf
39	outbreak
33	acquisition
33	point
32	final
29	affected
29	risk
28	flamanville
27	epr
27	ørsted
27	pandemic
27	vineyard
26	deadline
26	senior
26	prices
25	month
24	mining
24	revised
23	informed
23	problem
23	department
22	price
22	latest
22	coming
22	gemini
22	home
22	give
22	testing
21	mr
21	needed
21	authorities
21	possible
21	hinkley
21	asn
21	budget
21	french
20	bullet
20	permit
20	sindh
20	lao
19	get
19	confirmed
19	know
19	hsr
19	tk
19	virus
19	nigeria
19	behind
19	situation
18	face
18	speed
18	signalling
18	initial
18	measures
18	secretary
18	rystad
18	historic
17	might
17	enough
17	hit
17	potholes
17	original
17	receive
17	place
16	golen
16	farmers
16	ahead
16	dollar
16	return
16	conditions
16	nationals
16	gol
16	manager
16	gaj
16	regional
16	crossrail
16	adding
15	facing
15	ready
15	payments
15	though
15	software
15	force
15	installations
15	trade
15	bureau
15	house
15	half
15	went
15	afghanistan
15	initially
15	floating
15	say
15	inga
14	terms
14	ago
14	massachusetts
14	extension
