frequency	vocabulary
80	ceo
76	clean
49	online
44	growing
43	tonnes
43	experience
42	community
42	solutions
42	portfolio
41	achieved
41	households
41	proud
40	carbon
39	maintenance
39	passenger
39	reliable
38	successful
37	customers
36	county
36	respectively
36	officially
35	supplied
35	hours
35	team
34	homes
34	efficiency
34	technologies
33	milestone
33	operates
33	commenced
32	steam
32	launch
32	sold
32	provides
31	texas
31	equipped
31	inaugurated
31	pleased
31	output
31	operated
31	independent
31	transition
31	opening
30	officer
30	delivering
30	stock
30	owns
30	ppa
30	heat
30	begun
29	integrated
29	benefits
29	complex
29	efficient
29	expand
29	features
28	opened
28	successfully
28	ge
28	flights
28	helping
27	best
27	commitment
26	handle
26	great
26	peak
26	affordable
26	capable
26	record
25	lng
25	free
25	aircraft
25	equivalent
25	represents
25	kwh
25	vietnam
24	indonesia
24	continued
24	committed
24	photovoltaic
24	created
24	hour
24	vice
24	entered
24	reliability
24	northern
24	requirements
24	starting
24	operator
24	presence
24	form
23	dioxide
23	test
23	center
23	aviation
23	flight
23	supplying
23	serving
23	america
23	contribute
