sensitivity	vocabulary
0.6347067315844828	energy
0.4894710872647571	electric
0.42293679438836124	solar
0.40185378179189707	operation
0.38966299229758483	commercial
0.335888714470432	sunflower
0.3249311924147714	johnson
0.3132747091331333	bp
0.3047863561432315	lightsource
0.3004199657773033	service
0.292872546922609	capacity
0.2925763728731159	low
0.29145523347433033	city
0.2884981918410686	ensure
0.2846797594615907	providing
0.2813421942730257	electricity
0.27969102776029076	purchase
0.27066931060720734	located
0.2705224160805564	ceo
0.25972703434936995	transmission
0.2592072220321655	followed
0.25752980390094277	million
0.2574770896120615	local
0.2555908572527373	date
0.2553504558816971	largest
0.25466363053311	renewables
0.25435108731722156	ppa
0.2543114647185172	megawatts
0.25420116421412914	source
0.2540085196401431	national
0.2537127798722105	benefits
0.25219640856346826	president
0.25193676632353434	western
0.25164085443526246	corner
0.2509690683074612	additional
0.2508132847858336	sold
0.2489883724078035	community
0.24896762325284316	reliability
0.24861040590100225	approximately
0.24785712001235688	public
0.2471831649107535	power
0.24564811456836017	protect
0.24501174207375218	diversified
0.24440733905682516	helping
0.2436383962888322	general
0.24332596357362477	online
0.242472404815854	keep
0.24142615249909097	operator
0.2411352648249138	peak
0.23977325019673076	six
0.23925609460562317	management
0.23903639640454957	agreement
0.23788829944153034	demand
0.23708535245207324	entered
0.2368351290068478	another
0.23679586177583353	jobs
0.2367915070787455	serving
0.23618257546623384	created
0.2360600785335939	members
0.2359606636439715	requirement
0.23574515455461595	provided
0.235391767799038	portfolio
0.2351569428921356	sterling
0.23513436686509273	nrco
0.23513436686509273	wilson
0.23495050537352982	owner
0.23464134864025443	dispatched
0.23397023178482979	bring
0.23378866506232937	pleased
0.23342648275284308	stuart
0.233241000263602	develop
0.2331149849431769	homes
0.23305947512937383	wholesale
0.23290857900770615	yet
0.23246171579332597	enough
0.2318941988925276	role
0.23174456606052066	adds
0.2315635044665762	worked
0.23139473014306852	affordable
0.2312446213539686	designed
0.23103721119751472	communities
0.23073767887611296	april
0.23065395385492918	proud
0.23057653722215904	labor
0.23053192094195896	officials
0.23026141013112342	upgrades
0.22987489269497574	kansas
0.22966615549898348	stanton
0.2296452981587711	lowry
0.2296452981587711	affordability
0.22961371935423636	save
0.22950932339306354	played
0.22948760568377147	subcontractors
0.22945954214972247	doubling
0.2294507758408412	kevin
0.22943744867406507	guidelines
0.22943670733397578	precautions
0.22943670733397578	deferring
0.22943667089509742	recruited
0.22916759200078313	workforce
0.22915597108721417	financed
0.22898040557249244	smith
0.2289219286080363	global
0.22888111418772808	ac
0.22886094043450192	bringing
0.2285554533956032	derived
0.22843607249134593	safety
0.2282609147042642	cooperative
0.228255939466286	reduce
0.22810988499660736	nearby
0.22802938992576482	americas
0.22789729143599466	hired
0.2278135717182966	approaching
0.22771346096541006	canceling
0.2275591735572516	applaud
0.2275591726312593	shell
0.2275591726312593	tc
0.2275591726312593	vst
0.2275591726312593	cargolux
0.2275591726312593	stealing
0.2275591726312593	oppose
0.2275591726312593	turkana
0.2275591726312593	kilometre
0.2275591726312593	thunderstorm
0.2275591726312593	structures
0.2275591726312593	zambezi
0.2275591726312593	outweighed
0.2275591726312593	fire
0.2275591726312593	report
0.2275591726312593	denies
